Abilene-Christian[32.4701° N, 99.7080° W]
Air-Force[38.9983° N, 104.8613° W]
Akron[41.0754° N, 81.5123° W]
Alabama-AM[34.7838° N, 86.5722° W]
Alabama-State[32.3630° N, 86.2940° W]
Alabama[33.2114° N, 87.5401° W]
Albany[42.6850° N, 73.8248° W]
Alcorn-State[31.8742° N, 91.1366° W]
American[38.9380° N, 77.0889° W]
Appalachian-State[36.2136° N, 81.6843° W]
Arizona-State[33.4242° N, 111.9281° W]
Arizona[32.2319° N, 110.9501° W]
Arkansas-Pine-Bluff[34.2474° N, 92.0217° W]
Arkansas-State[35.8431° N, 90.6749° W]
Arkansas[36.0687° N, 94.1748° W]
Army[41.3889° N, 73.9571° W]
Auburn[32.5981° N, 85.4943° W]
Austin-Peay[36.5350° N, 87.3549° W]
Ball-State[40.2025° N, 85.4058° W]
Baylor[31.5501° N, 97.1135° W]
Bellarmine[38.2185° N, 85.7055° W]
Belmont[36.1329° N, 86.7942° W]
Bethune-Cookman[29.2110° N, 81.0316° W]
Binghamton[42.0894° N, 75.9695° W]
Boise-State[43.6029° N, 116.1999° W]
Boston-College[42.3355° N, 71.1685° W]
Boston-University[42.3505° N, 71.1054° W]
Bowling-Green[41.3772° N, 83.6421° W]
Bradley[40.6978° N, 89.6153° W]
Brown[41.8268° N, 71.4025° W]
Bryant[41.9221° N, 71.5377° W]
Bucknell[40.9548° N, 76.8851° W]
Buffalo[43.0008° N, 78.7890° W]
Butler[39.8410° N, 86.1712° W]
BYU[40.2518° N, 111.6493° W]
Cal-Poly[35.3050° N, 120.6625° W]
Cal-State-Bakersfield[35.3487° N, 119.1033° W]
Cal-State-Fullerton[33.8823° N, 117.8851° W]
Cal-State-Northridge[34.2407° N, 118.5300° W]
California-Baptist[33.9289° N, 117.4259° W]
California[37.8715° N, 122.2730° W]
Campbell[35.4082° N, 78.7398° W]
Canisius[42.9238° N, 78.8551° W]
Central-Arkansas[35.0781° N, 92.4579° W]
Central-Connecticut[41.6931° N, 72.7639° W]
Central-Michigan[43.5907° N, 84.7756° W]
Charleston-Southern[32.9822° N, 80.0707° W]
Charleston[38.3336° N, 81.6181° W]
Charlotte[35.3071° N, 80.7352° W]
Chattanooga[35.0459° N, 85.2953° W]
Chicago-State[41.7180° N, 87.6094° W]
Cincinnati[39.1329° N, 84.5150° W]
Clemson[34.6734° N, 82.8367° W]
Cleveland-State[41.5028° N, 81.6744° W]
Coastal-Carolina[33.7961° N, 79.0137° W]
Colgate[42.8156° N, 75.5407° W]
Colorado-State[40.5729° N, 105.0848° W]
Colorado[40.0073° N, 105.2660° W]
Columbia[40.8075° N, 73.9626° W]
Connecticut[41.8077° N, 72.2540° W]
Coppin-State[39.3126° N, 76.6580° W]
Cornell[42.4534° N, 76.4735° W]
Creighton[41.2656° N, 95.9464° W]
Dartmouth[43.7044° N, 72.2887° W]
Davidson[35.5016° N, 80.8423° W]
Dayton[39.7401° N, 84.1790° W]
Delaware-State[39.1852° N, 75.5434° W]
Delaware[39.6780° N, 75.7506° W]
Denver[39.6766° N, 104.9619° W]
DePaul[41.9242° N, 87.6542° W]
Detroit[42.4141° N, 83.1379° W]
Drake[41.6031° N, 93.6546° W]
Drexel[39.9566° N, 75.1899° W]
Duke[36.0014° N, 78.9382° W]
Duquesne[40.4369° N, 79.9903° W]
East-Carolina[35.6069° N, 77.3665° W]
East-Tennessee-State[36.3024° N, 82.3699° W]
East-Texas-AM[33.2407° N, 95.9104° W]
Eastern-Illinois[39.4836° N, 88.1752° W]
Eastern-Kentucky[37.7360° N, 84.2987° W]
Eastern-Michigan[42.2507° N, 83.6241° W]
Eastern-Washington[47.4907° N, 117.5848° W]
Elon[36.1028° N, 79.5024° W]
Evansville[37.9734° N, 87.5322° W]
Fairfield[41.1599° N, 73.2576° W]
Fairleigh-Dickinson[40.8982° N, 74.0303° W]
FAU[26.3858° N, 80.0973° W]
FGCU[26.4627° N, 81.7801° W]
FIU[25.7562° N, 80.3755° W]
Florida-AM[30.4227° N, 84.2877° W]
Florida-State[30.4419° N, 84.2985° W]
Florida[29.6446° N, 82.3535° W]
Fordham[40.8615° N, 73.8853° W]
Fresno-State[36.8137° N, 119.7462° W]
Furman[34.9275° N, 82.4401° W]
Gardner-Webb[35.2475° N, 81.6707° W]
George-Mason[38.8315° N, 77.3117° W]
George-Washington[38.8997° N, 77.0486° W]
Georgetown[38.9076° N, 77.0723° W]
Georgia-Southern[32.4197° N, 81.7843° W]
Georgia-State[33.7531° N, 84.3853° W]
Georgia-Tech[33.7756° N, 84.3963° W]
Georgia[33.9567° N, 83.3752° W]
Gonzaga[47.6659° N, 117.4021° W]
Grambling-State[32.5197° N, 92.7180° W]
Grand-Canyon[33.5100° N, 112.1289° W]
Green-Bay[44.5313° N, 87.9210° W]
Hampton[37.0228° N, 76.3344° W]
Hartford[41.7985° N, 72.7138° W]
Harvard[42.3744° N, 71.1182° W]
Hawaii[21.2998° N, 157.8148° W]
High-Point[35.9765° N, 79.9976° W]
Hofstra[40.7167° N, 73.5994° W]
Holy-Cross[42.2392° N, 71.8080° W]
Houston-Christian[29.6946° N, 95.5162° W]
